#KD=    4.140000e+02 [muM]
#Ebind= 1.080000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
7.794589e-08 4.187561e-12 7.794003e-08
7.794589e-08 5.162621e-12 7.793866e-08
7.794589e-08 6.364720e-12 7.793698e-08
7.794589e-08 7.846725e-12 7.793490e-08
7.794589e-08 9.673809e-12 7.793235e-08
7.794589e-08 1.192632e-11 7.792919e-08
7.794589e-08 1.470333e-11 7.792530e-08
7.794589e-08 1.812695e-11 7.792051e-08
7.794589e-08 2.234775e-11 7.791460e-08
7.794589e-08 2.755135e-11 7.790732e-08
7.794589e-08 3.396660e-11 7.789834e-08
7.794589e-08 4.187561e-11 7.788727e-08
7.794589e-08 5.162621e-11 7.787363e-08
7.794589e-08 6.364720e-11 7.785681e-08
7.794589e-08 7.846725e-11 7.783608e-08
7.794589e-08 9.673809e-11 7.781052e-08
7.794589e-08 1.192632e-10 7.777903e-08
7.794589e-08 1.470333e-10 7.774022e-08
7.794589e-08 1.812695e-10 7.769240e-08
7.794589e-08 2.234775e-10 7.763347e-08
7.794589e-08 2.755135e-10 7.756088e-08
7.794589e-08 3.396660e-10 7.747146e-08
7.794589e-08 4.187561e-10 7.736133e-08
7.794589e-08 5.162621e-10 7.722575e-08
7.794589e-08 6.364720e-10 7.705887e-08
7.794589e-08 7.846725e-10 7.685356e-08
7.794589e-08 9.673809e-10 7.660107e-08
7.794589e-08 1.192632e-09 7.629076e-08
7.794589e-08 1.470333e-09 7.590966e-08
7.794589e-08 1.812695e-09 7.544208e-08
7.794589e-08 2.234775e-09 7.486902e-08
7.794589e-08 2.755135e-09 7.416772e-08
7.794589e-08 3.396660e-09 7.331102e-08
7.794589e-08 4.187561e-09 7.226686e-08
7.794589e-08 5.162621e-09 7.099788e-08
7.794589e-08 6.364720e-09 6.946127e-08
7.794589e-08 7.846725e-09 6.760925e-08
7.794589e-08 9.673809e-09 6.539036e-08
7.794589e-08 1.192632e-08 6.275240e-08
7.794589e-08 1.470333e-08 5.964754e-08
7.794589e-08 1.812695e-08 5.604067e-08
7.794589e-08 2.234775e-08 5.192163e-08
7.794589e-08 2.755135e-08 4.732095e-08
7.794589e-08 3.396660e-08 4.232613e-08
7.794589e-08 4.187561e-08 3.709129e-08
7.794589e-08 5.162621e-08 3.182919e-08
7.794589e-08 6.364720e-08 2.677793e-08
7.794589e-08 7.846725e-08 2.214955e-08
7.794589e-08 9.673809e-08 1.808455e-08
7.794589e-08 1.192632e-07 1.463564e-08
7.794589e-08 1.470333e-07 1.178262e-08
7.794589e-08 1.812695e-07 9.461657e-09
7.794589e-08 2.234775e-07 7.592116e-09
7.794589e-08 2.755135e-07 6.093835e-09
7.794589e-08 3.396660e-07 4.895463e-09
7.794589e-08 4.187561e-07 3.937097e-09
7.794589e-08 5.162621e-07 3.170003e-09
7.794589e-08 6.364720e-07 2.555179e-09
7.794589e-08 7.846725e-07 2.061660e-09
7.794589e-08 9.673809e-07 1.664920e-09
7.794589e-08 1.192632e-06 1.345543e-09
7.794589e-08 1.470333e-06 1.088127e-09
7.794589e-08 1.812695e-06 8.804289e-10
7.794589e-08 2.234775e-06 7.126940e-10
7.794589e-08 2.755135e-06 5.771291e-10
7.794589e-08 3.396660e-06 4.674927e-10
7.794589e-08 4.187561e-06 3.787779e-10
7.794589e-08 5.162621e-06 3.069617e-10
7.794589e-08 6.364720e-06 2.488041e-10
7.794589e-08 7.846725e-06 2.016917e-10
7.794589e-08 9.673809e-06 1.635190e-10
7.794589e-08 1.192632e-05 1.325836e-10
7.794589e-08 1.470333e-05 1.075077e-10
7.794589e-08 1.812695e-05 8.718004e-11
1.812695e-07 1.812695e-14 1.812695e-07
1.812695e-07 2.234775e-14 1.812695e-07
1.812695e-07 2.755135e-14 1.812695e-07
1.812695e-07 3.396660e-14 1.812695e-07
1.812695e-07 4.187561e-14 1.812694e-07
1.812695e-07 5.162621e-14 1.812694e-07
1.812695e-07 6.364720e-14 1.812694e-07
1.812695e-07 7.846725e-14 1.812694e-07
1.812695e-07 9.673809e-14 1.812693e-07
1.812695e-07 1.192632e-13 1.812693e-07
1.812695e-07 1.470333e-13 1.812692e-07
1.812695e-07 1.812695e-13 1.812692e-07
1.812695e-07 2.234775e-13 1.812691e-07
1.812695e-07 2.755135e-13 1.812690e-07
